scene,camera,gaussian_id,flat_id,tile_x,tile_y,mean2d,conic_A,conic_B,conic_C,opacity,radius_x,radius_y,depth,aabb_bounds,snugbox_bounds,accutile_selected_range,pixel_x,pixel_y,sigma,gaussian_weight_G,effective_alpha,alpha_threshold,alpha_threshold_ratio,distance_from_threshold,margin_class,image_boundary,ellipse_bbox_boundary,tile_column_boundary,tile_row_boundary
room,0,759175,14597,188,23,"[4909.6962890625, -3101.423828125]",0.0009830829221755266,0.0005319021875038743,0.0002887042937800288,4.942815780639648,1886,3480,0.6097432374954224,"[188, 0, 195, 24]","{""min"": [189, 0], ""max"": [195, 24]}","{""is_y"": false, ""u"": 188, ""v"": 23, ""selected_v_min"": 23, ""selected_v_max_exclusive"": 24, ""snug_min"": [189, 0], ""snug_max"": [195, 24]}",3023,374,5.547558307647705,0.003896960815775719,0.019261954352259636,0.00392156862745098,4.911798359826207,0.015340385724808656,MATERIAL,False,True,False,False
room,0,949271,15774,183,21,"[-1066.906982421875, 7861.7451171875]",1.6145594372574124e-06,7.983690011315048e-07,5.891347427677829e-07,1.3159615993499756,4563,7554,0.10880005359649658,"[0, 19, 195, 130]","{""min"": [0, 19], ""max"": [195, 130]}","{""is_y"": true, ""u"": 21, ""v"": 183, ""selected_v_min"": 147, ""selected_v_max_exclusive"": 183, ""snug_min"": [0, 19], ""snug_max"": [195, 130]}",2928,351,5.545294284820557,0.003905793619080362,0.0051398733630776405,0.00392156862745098,1.3106677075847983,0.0012183047356266602,MATERIAL,False,False,True,False
room,0,964337,15807,129,42,"[-2350.949951171875, 11021.8544921875]",8.644886293041054e-06,3.760752179005067e-06,1.7395284430676838e-06,6.390665531158447,4644,10351,0.05331611633300781,"[0, 41, 144, 130]","{""min"": [0, 41], ""max"": [144, 130]}","{""is_y"": true, ""u"": 42, ""v"": 129, ""selected_v_min"": 130, ""selected_v_max_exclusive"": 139, ""snug_min"": [0, 41], ""snug_max"": [144, 130]}",2079,687,5.545398712158203,0.0039053857687470577,0.024958008900284767,0.00392156862745098,6.364292269572616,0.021036440272833787,MATERIAL,False,False,True,False
room,0,976187,15812,127,77,"[1735.0184326171875, 501.15826416015625]",5.692289505532244e-06,4.898697625321802e-06,1.5839528714423068e-05,4.847372055053711,1630,977,3.6852145195007324,"[6, 0, 195, 93]","{""min"": [6, 0], ""max"": [195, 93]}","{""is_y"": true, ""u"": 77, ""v"": 127, ""selected_v_min"": 11, ""selected_v_max_exclusive"": 127, ""snug_min"": [6, 0], ""snug_max"": [195, 93]}",2032,1232,5.553605556488037,0.0038734660349933905,0.018776128068566322,0.00392156862745098,4.787912657484412,0.014854559441115342,MATERIAL,False,False,True,False
room,0,1055687,15964,47,30,"[-96.92366027832031, 6955.43359375]",2.9118466500221984e-06,1.2373824347378104e-06,5.449315949590527e-07,16.820737838745117,10422,24090,0.14193713665008545,"[0, 0, 195, 130]","{""min"": [0, 0], ""max"": [195, 130]}","{""is_y"": true, ""u"": 30, ""v"": 47, ""selected_v_min"": 48, ""selected_v_max_exclusive"": 195, ""snug_min"": [0, 0], ""snug_max"": [195, 130]}",767,495,5.548415660858154,0.0038936211757394407,0.06549356132745743,0.00392156862745098,16.700858138501644,0.06157199270000645,MATERIAL,False,False,True,False
room,0,1069709,15986,174,66,"[678.9149780273438, 5778.8037109375]",0.0005214291741140187,0.00022937095491215587,0.00010137713979929686,13.083686828613281,2121,4810,0.20166265964508057,"[0, 60, 175, 130]","{""min"": [0, 60], ""max"": [175, 130]}","{""is_y"": true, ""u"": 66, ""v"": 174, ""selected_v_min"": 169, ""selected_v_max_exclusive"": 174, ""snug_min"": [0, 60], ""snug_max"": [175, 130]}",2784,1056,5.553714275360107,0.0038730449390260175,0.0506737157702446,0.00392156862745098,12.921797521412373,0.04675214714279362,MATERIAL,False,True,True,False
bicycle,0,12257,145,67,35,"[2801.037841796875, 562.391845703125]",3.7854467791476054e-06,-2.387818312854506e-06,1.500353027950041e-05,11.856067657470703,1805,907,2.239466667175293,"[62, 0, 288, 92]","{""min"": [62, 0], ""max"": [288, 92]}","{""is_y"": true, ""u"": 35, ""v"": 67, ""selected_v_min"": 68, ""selected_v_max_exclusive"": 283, ""snug_min"": [62, 0], ""snug_max"": [288, 92]}",1087,560,5.549723148345947,0.0038885336414384484,0.04610270634293556,0.00392156862745098,11.756190117448568,0.04218113771548458,MATERIAL,False,False,True,False
bicycle,0,344136,1759,81,7,"[1356.317138671875, 166.01910400390625]",0.0031606971751898527,-0.000921894155908376,0.005526199471205473,10.209768295288086,61,46,29.540464401245117,"[80, 7, 89, 14]","{""min"": [80, 7], ""max"": [89, 14]}","{""is_y"": true, ""u"": 7, ""v"": 81, ""selected_v_min"": 81, ""selected_v_max_exclusive"": 87, ""snug_min"": [80, 7], ""snug_max"": [89, 14]}",1311,127,5.682439804077148,0.003405240181178988,0.03476671501994133,0.00392156862745098,8.86551233008504,0.03084514639249035,MATERIAL,False,True,False,False
bicycle,0,1702905,8445,175,10,"[2929.218994140625, 142.44801330566406]",0.0009914570255205035,0.0004130080051254481,0.001348166260868311,6.564034461975098,114,98,31.78470802307129,"[175, 2, 191, 16]","{""min"": [175, 2], ""max"": [191, 15]}","{""is_y"": true, ""u"": 10, ""v"": 175, ""selected_v_min"": 176, ""selected_v_max_exclusive"": 190, ""snug_min"": [175, 2], ""snug_max"": [191, 15]}",2815,175,5.594809055328369,0.0037171090299018155,0.02439923770725727,0.00392156862745098,6.221805615350604,0.02047766907980629,MATERIAL,False,True,True,False
bicycle,0,1972882,11039,168,3,"[2763.664306640625, -33.776641845703125]",0.0009873774833977222,-0.0003329342871438712,0.0006467564962804317,12.336886405944824,117,145,31.539979934692383,"[165, 0, 181, 7]","{""min"": [165, 0], ""max"": [181, 7]}","{""is_y"": true, ""u"": 3, ""v"": 168, ""selected_v_min"": 168, ""selected_v_max_exclusive"": 180, ""snug_min"": [165, 0], ""snug_max"": [181, 7]}",2703,48,5.624182224273682,0.003609513702090022,0.044530171900987625,0.00392156862745098,11.355193834751844,0.040608603273536645,MATERIAL,False,False,False,False
bicycle,0,2443125,12420,20,129,"[18151.951171875, 3188.316650390625]",4.1320436849900943e-08,-5.386193890899449e-08,1.0383264736901765e-07,3.586629867553711,28789,18161,0.9786399602890015,"[0, 0, 310, 206]","{""min"": [0, 0], ""max"": [310, 206]}","{""is_y"": true, ""u"": 129, ""v"": 20, ""selected_v_min"": 21, ""selected_v_max_exclusive"": 310, ""snug_min"": [0, 0], ""snug_max"": [310, 206]}",335,2064,5.545210838317871,0.003906119557497107,0.014009809121489525,0.00392156862745098,3.572501325979829,0.010088240494038545,MATERIAL,False,False,True,False
bicycle,0,2463025,12521,8,23,"[1311.971435546875, -559.7261352539062]",1.048706735673477e-06,4.178073140792549e-06,2.184009827033151e-05,4.137961387634277,6668,1462,0.11287045478820801,"[0, 0, 310, 57]","{""min"": [0, 0], ""max"": [310, 57]}","{""is_y"": true, ""u"": 23, ""v"": 8, ""selected_v_min"": 0, ""selected_v_max_exclusive"": 8, ""snug_min"": [0, 0], ""snug_max"": [310, 57]}",128,368,5.553431510925293,0.0038741402532398665,0.016031047329306602,0.00392156862745098,4.087917068973184,0.012109478701855622,MATERIAL,False,False,True,False
bicycle,0,2468139,12550,59,26,"[3360.329833984375, 18.318580627441406]",0.0006255337502807379,0.0038759021554142237,0.02407677471637726,6.074251174926758,2643,427,0.30513179302215576,"[44, 0, 310, 28]","{""min"": [44, 0], ""max"": [310, 28]}","{""is_y"": true, ""u"": 26, ""v"": 59, ""selected_v_min"": 47, ""selected_v_max_exclusive"": 59, ""snug_min"": [44, 0], ""snug_max"": [310, 28]}",944,416,5.668626308441162,0.003452604834129039,0.0209719929844141,0.00392156862745098,5.347858211025596,0.01705042435696312,MATERIAL,False,False,True,False
bicycle,0,2469037,12558,308,147,"[8343.837890625, 2879.765869140625]",7.939048032312712e-07,-9.625670571722367e-08,8.580230314692017e-06,8.273298263549805,3740,1138,0.3122878074645996,"[287, 108, 310, 206]","{""min"": [287, 108], ""max"": [310, 206]}","{""is_y"": false, ""u"": 308, ""v"": 147, ""selected_v_min"": 148, ""selected_v_max_exclusive"": 206, ""snug_min"": [287, 108], ""snug_max"": [310, 206]}",4943,2367,5.547811031341553,0.003895976085881106,0.03223257139325142,0.00392156862745098,8.219305705279112,0.02831100276580044,MATERIAL,False,False,True,False
bicycle,0,2480983,12638,15,31,"[4018.712646484375, -50.861671447753906]",1.1762031704165565e-07,-1.0562663419477758e-06,1.6975704056676477e-05,1.074678897857666,14618,1217,0.22231566905975342,"[0, 0, 310, 73]","{""min"": [0, 0], ""max"": [310, 73]}","{""is_y"": true, ""u"": 31, ""v"": 15, ""selected_v_min"": 16, ""selected_v_max_exclusive"": 310, ""snug_min"": [0, 0], ""snug_max"": [310, 73]}",255,496,5.551595211029053,0.003881260872380113,0.004171107895672321,0.00392156862745098,1.063632513396442,0.000249539268221341,MATERIAL,False,False,True,False
