tier,suite_cohort,ranking_type,rank,renderer_id,renderer,fps,frame_time_ms,psnr_db,ssim,lpips,peak_vram_mb,fps_ci95_low,fps_ci95_high,startup_time_ms,renderer_init_time_ms,scene_load_time_ms,renderer_prepare_time_ms,time_to_first_frame_ms,p95_frame_time_ms,p99_frame_time_ms,efficiency_score,case_count
measured,1,overall,1,gsplat,gsplat packed/dense (gsplat),241.60069350587924,4.13906096662618,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,240.62292093405824,242.58277904622992,1606.86,0.01,4734.1,52.14,76.56,7.09,7.49,0.015498937607640456,5
measured,1,overall,2,gsplat_higs,gsplat HiGS variants (gsplat_higs),696.9104755682285,1.4349045322997134,25.834472791600092,0.8372220854759216,0.26490939462184904,6616.0,656.7234719897846,739.8923531089885,1996.47,0.02,3257.22,409.34,2.89,2.37,2.55,0.028443559759154455,5
measured,1,overall,3,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.88226604360297,8.137870761963043,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,120.70373812091077,125.10599566661908,1835.36,0.01,3188.37,55.31,15.62,15.2,16.17,0.004218041349781737,5
measured,1,overall,4,speedy_splat,Speedy-Splat (speedy_splat),293.03062730417787,3.4126125627201405,26.120755463102597,0.8403672676086426,0.26373577499389644,4276.0,283.9832958309657,302.4034365388371,2416.24,0.01,2994.34,52.19,8.25,5.81,6.3,0.019373467494915635,5
measured,1,overall,5,tcgs,3DGSTensorCore / TC-GS (tcgs),251.6248432577766,3.9741703841840095,26.12983607948981,0.8401455614566803,0.2632737223505974,4322.0,153.088317207988,395.7829967697528,1846.57,0.03,2851.72,49.39,6.3,10.26,16.28,0.016455390000854133,5
measured,1,real_time,1,gsplat_higs,gsplat HiGS variants (gsplat_higs),696.9104755682285,1.4349045322997134,25.834472791600092,0.8372220854759216,0.26490939462184904,6616.0,656.7234719897846,739.8923531089885,1996.47,0.02,3257.22,409.34,2.89,2.37,2.55,0.028443559759154455,5
measured,1,real_time,2,speedy_splat,Speedy-Splat (speedy_splat),293.03062730417787,3.4126125627201405,26.120755463102597,0.8403672676086426,0.26373577499389644,4276.0,283.9832958309657,302.4034365388371,2416.24,0.01,2994.34,52.19,8.25,5.81,6.3,0.019373467494915635,5
measured,1,real_time,3,tcgs,3DGSTensorCore / TC-GS (tcgs),251.6248432577766,3.9741703841840095,26.12983607948981,0.8401455614566803,0.2632737223505974,4322.0,153.088317207988,395.7829967697528,1846.57,0.03,2851.72,49.39,6.3,10.26,16.28,0.016455390000854133,5
measured,1,real_time,4,gsplat,gsplat packed/dense (gsplat),241.60069350587924,4.13906096662618,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,240.62292093405824,242.58277904622992,1606.86,0.01,4734.1,52.14,76.56,7.09,7.49,0.015498937607640456,5
measured,1,real_time,5,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.88226604360297,8.137870761963043,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,120.70373812091077,125.10599566661908,1835.36,0.01,3188.37,55.31,15.62,15.2,16.17,0.004218041349781737,5
measured,1,quality_psnr,1,tcgs,3DGSTensorCore / TC-GS (tcgs),251.6248432577766,3.9741703841840095,26.12983607948981,0.8401455614566803,0.2632737223505974,4322.0,153.088317207988,395.7829967697528,1846.57,0.03,2851.72,49.39,6.3,10.26,16.28,0.016455390000854133,5
measured,1,quality_psnr,2,speedy_splat,Speedy-Splat (speedy_splat),293.03062730417787,3.4126125627201405,26.120755463102597,0.8403672676086426,0.26373577499389644,4276.0,283.9832958309657,302.4034365388371,2416.24,0.01,2994.34,52.19,8.25,5.81,6.3,0.019373467494915635,5
measured,1,quality_psnr,3,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.88226604360297,8.137870761963043,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,120.70373812091077,125.10599566661908,1835.36,0.01,3188.37,55.31,15.62,15.2,16.17,0.004218041349781737,5
measured,1,quality_psnr,4,gsplat_higs,gsplat HiGS variants (gsplat_higs),696.9104755682285,1.4349045322997134,25.834472791600092,0.8372220854759216,0.26490939462184904,6616.0,656.7234719897846,739.8923531089885,1996.47,0.02,3257.22,409.34,2.89,2.37,2.55,0.028443559759154455,5
measured,1,quality_psnr,5,gsplat,gsplat packed/dense (gsplat),241.60069350587924,4.13906096662618,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,240.62292093405824,242.58277904622992,1606.86,0.01,4734.1,52.14,76.56,7.09,7.49,0.015498937607640456,5
measured,1,quality_ssim,1,speedy_splat,Speedy-Splat (speedy_splat),293.03062730417787,3.4126125627201405,26.120755463102597,0.8403672676086426,0.26373577499389644,4276.0,283.9832958309657,302.4034365388371,2416.24,0.01,2994.34,52.19,8.25,5.81,6.3,0.019373467494915635,5
measured,1,quality_ssim,2,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.88226604360297,8.137870761963043,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,120.70373812091077,125.10599566661908,1835.36,0.01,3188.37,55.31,15.62,15.2,16.17,0.004218041349781737,5
measured,1,quality_ssim,3,tcgs,3DGSTensorCore / TC-GS (tcgs),251.6248432577766,3.9741703841840095,26.12983607948981,0.8401455614566803,0.2632737223505974,4322.0,153.088317207988,395.7829967697528,1846.57,0.03,2851.72,49.39,6.3,10.26,16.28,0.016455390000854133,5
measured,1,quality_ssim,4,gsplat,gsplat packed/dense (gsplat),241.60069350587924,4.13906096662618,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,240.62292093405824,242.58277904622992,1606.86,0.01,4734.1,52.14,76.56,7.09,7.49,0.015498937607640456,5
measured,1,quality_ssim,5,gsplat_higs,gsplat HiGS variants (gsplat_higs),696.9104755682285,1.4349045322997134,25.834472791600092,0.8372220854759216,0.26490939462184904,6616.0,656.7234719897846,739.8923531089885,1996.47,0.02,3257.22,409.34,2.89,2.37,2.55,0.028443559759154455,5
measured,1,quality_lpips,1,tcgs,3DGSTensorCore / TC-GS (tcgs),251.6248432577766,3.9741703841840095,26.12983607948981,0.8401455614566803,0.2632737223505974,4322.0,153.088317207988,395.7829967697528,1846.57,0.03,2851.72,49.39,6.3,10.26,16.28,0.016455390000854133,5
measured,1,quality_lpips,2,speedy_splat,Speedy-Splat (speedy_splat),293.03062730417787,3.4126125627201405,26.120755463102597,0.8403672676086426,0.26373577499389644,4276.0,283.9832958309657,302.4034365388371,2416.24,0.01,2994.34,52.19,8.25,5.81,6.3,0.019373467494915635,5
measured,1,quality_lpips,3,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.88226604360297,8.137870761963043,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,120.70373812091077,125.10599566661908,1835.36,0.01,3188.37,55.31,15.62,15.2,16.17,0.004218041349781737,5
measured,1,quality_lpips,4,gsplat_higs,gsplat HiGS variants (gsplat_higs),696.9104755682285,1.4349045322997134,25.834472791600092,0.8372220854759216,0.26490939462184904,6616.0,656.7234719897846,739.8923531089885,1996.47,0.02,3257.22,409.34,2.89,2.37,2.55,0.028443559759154455,5
measured,1,quality_lpips,5,gsplat,gsplat packed/dense (gsplat),241.60069350587924,4.13906096662618,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,240.62292093405824,242.58277904622992,1606.86,0.01,4734.1,52.14,76.56,7.09,7.49,0.015498937607640456,5
measured,1,efficiency,1,gsplat_higs,gsplat HiGS variants (gsplat_higs),696.9104755682285,1.4349045322997134,25.834472791600092,0.8372220854759216,0.26490939462184904,6616.0,656.7234719897846,739.8923531089885,1996.47,0.02,3257.22,409.34,2.89,2.37,2.55,0.028443559759154455,5
measured,1,efficiency,2,speedy_splat,Speedy-Splat (speedy_splat),293.03062730417787,3.4126125627201405,26.120755463102597,0.8403672676086426,0.26373577499389644,4276.0,283.9832958309657,302.4034365388371,2416.24,0.01,2994.34,52.19,8.25,5.81,6.3,0.019373467494915635,5
measured,1,efficiency,3,tcgs,3DGSTensorCore / TC-GS (tcgs),251.6248432577766,3.9741703841840095,26.12983607948981,0.8401455614566803,0.2632737223505974,4322.0,153.088317207988,395.7829967697528,1846.57,0.03,2851.72,49.39,6.3,10.26,16.28,0.016455390000854133,5
measured,1,efficiency,4,gsplat,gsplat packed/dense (gsplat),241.60069350587924,4.13906096662618,25.834141521294075,0.8372486435174942,0.2653049125671387,4206.0,240.62292093405824,242.58277904622992,1606.86,0.01,4734.1,52.14,76.56,7.09,7.49,0.015498937607640456,5
measured,1,efficiency,5,original_3dgs,Original 3DGS rasterizer (original_3dgs),122.88226604360297,8.137870761963043,26.119819261777693,0.8403464143276215,0.26373823046684264,8234.0,120.70373812091077,125.10599566661908,1835.36,0.01,3188.37,55.31,15.62,15.2,16.17,0.004218041349781737,5
