iteration,visible_overlap_lag1,tile_overlap_lag1,n_gaussian
0,0.024349,0.452830,112627
1,0.071387,0.178719,112627
2,0.001370,0.417827,112627
3,0.061952,0.472973,112627
4,0.747152,0.164779,112627
5,0.102397,0.322718,112627
6,0.249941,0.250960,112627
7,0.016268,0.159337,112627
8,0.163777,0.454737,112627
9,0.363533,0.422615,112627
10,0.295839,0.177043,112627
11,0.779637,0.239832,112627
12,0.356654,0.323552,112627
13,0.081402,0.450835,112627
14,0.006502,0.658394,112627
15,0.022816,0.161316,112627
16,0.001504,0.237510,112627
17,0.170560,0.286169,112627
18,0.477601,0.222222,112627
19,0.174725,0.399184,112627
20,0.001980,0.260600,112627
21,0.075072,0.317757,112627
22,0.414671,0.476815,112627
23,0.228106,0.358491,112627
24,0.000047,0.472927,112627
25,0.002002,0.548944,112627
26,0.289562,0.255265,112627
27,0.002302,0.347291,112627
28,0.005058,0.334656,112627
29,0.021711,0.461538,112627
30,0.002434,0.252109,112627
31,0.620935,0.443878,112627
32,0.259889,0.278586,112627
33,0.034823,0.342183,112627
34,0.469051,0.572797,112627
35,0.009010,0.302348,112627
36,0.055394,0.300425,112627
37,0.783460,0.762760,112627
38,0.750206,0.734951,112627
39,0.731810,0.733706,112627
40,0.012374,0.346226,112627
41,0.094055,0.392435,112627
42,0.927087,0.585294,112627
43,0.018411,0.258278,112627
44,0.007984,0.354167,112627
45,0.134591,0.341253,112627
46,0.013895,0.306480,112627
47,0.042629,0.366989,112627
48,0.626284,0.823026,112627
49,0.035318,0.386823,112627
50,0.007639,0.357212,112627
51,0.002117,0.159590,112627
52,0.002103,0.155508,112627
53,0.341858,0.443542,112627
54,0.369761,0.216771,112627
55,0.729791,0.180691,112627
56,0.144913,0.471538,112627
57,0.008111,0.225882,112627
58,0.019670,0.272422,112627
59,0.506297,0.511724,112627
60,0.175928,0.240000,112627
61,0.253762,0.486325,112627
62,0.018927,0.220551,112627
63,0.009417,0.305246,112627
64,0.006344,0.773556,112627
65,0.631135,0.269289,112627
66,0.720223,0.294509,112627
67,0.202320,0.273786,112627
68,0.026430,0.367849,112627
69,0.102523,0.433391,112627
70,0.638968,0.297828,112627
71,0.027109,0.213469,112627
72,0.398652,0.508306,112627
73,0.097366,0.394247,112627
74,0.004905,0.243674,112627
75,0.540483,0.474330,112627
76,0.094268,0.456485,112627
77,0.004239,0.449933,112627
78,0.091392,0.487914,112627
79,0.493167,0.396847,112627
80,0.031312,0.379877,112627
81,0.009976,0.311962,112627
82,0.322870,0.314598,112627
83,0.773364,0.704478,112627
84,0.826601,0.720703,112627
85,0.038202,0.469813,112627
86,0.005088,0.328907,112627
87,0.659214,0.326396,112627
88,0.724710,0.529155,112627
89,0.170662,0.342129,112627
90,0.396832,0.441033,112627
91,0.118129,0.423077,112627
92,0.652235,0.623003,112627
93,0.011400,0.408505,112627
94,0.073692,0.456217,112627
95,0.450990,0.457062,112627
96,0.652894,0.219713,112627
97,0.010361,0.622378,112627
98,0.001977,0.249215,112627
99,0.077994,0.465072,112627
100,0.285111,0.335235,112627
101,0.175289,0.337089,112848
102,0.109305,0.497196,112848
103,0.173948,0.513543,112848
104,0.083542,0.633028,112848
105,0.012581,0.236667,112848
106,0.011816,0.311111,112848
107,0.387816,0.304124,112848
108,0.662921,0.704510,112848
109,0.017121,0.385943,112848
110,0.713795,0.780800,112848
111,0.008042,0.249421,112848
112,0.058398,0.599644,112848
113,0.000274,0.355285,112848
114,0.599390,0.422547,112848
115,0.449336,0.482408,112848
116,0.000568,0.189926,112848
117,0.001151,0.318275,112848
118,0.493079,0.465696,112848
119,0.649475,0.636639,112848
120,0.395517,0.478851,112848
121,0.322406,0.339483,112848
122,0.009599,0.404935,112848
123,0.005608,0.259459,112848
124,0.939977,0.873016,112848
125,0.077057,0.518904,112848
126,0.012729,0.377491,112848
127,0.130341,0.575615,112848
128,0.076481,0.528879,112848
129,0.783956,0.798732,112848
130,0.400855,0.601449,112848
131,0.257511,0.393238,112848
132,0.025757,0.313386,112848
133,0.457779,0.572491,112848
134,0.281984,0.383197,112848
135,0.023393,0.222222,112848
136,0.132332,0.384236,112848
137,0.023398,0.307796,112848
138,0.059796,0.411447,112848
139,0.373060,0.286477,112848
140,0.318469,0.381242,112848
141,0.002593,0.330791,112848
142,0.244752,0.375284,112848
143,0.499015,0.731949,112848
144,0.334876,0.400269,112848
145,0.113181,0.401535,112848
146,0.466739,0.445266,112848
147,0.120445,0.413892,112848
148,0.005326,0.255495,112848
149,0.005957,0.256680,112848
150,0.433480,0.383832,112848
151,0.402423,0.612849,112848
152,0.257802,0.331750,112848
153,0.856249,0.776077,112848
154,0.011362,0.225678,112848
155,0.100732,0.383264,112848
156,0.329706,0.348536,112848
157,0.207470,0.382962,112848
158,0.232778,0.329193,112848
159,0.437334,0.474268,112848
160,0.002108,0.405453,112848
161,0.160344,0.472749,112848
162,0.005513,0.219201,112848
163,0.452197,0.316025,112848
164,0.248259,0.548780,112848
165,0.001216,0.206055,112848
166,0.000504,0.248373,112848
167,0.032541,0.323553,112848
168,0.022195,0.240037,112848
169,0.001787,0.337526,112848
170,0.229432,0.444056,112848
171,0.007628,0.394175,112848
172,0.055064,0.308750,112848
173,0.003563,0.235119,112848
174,0.002842,0.291429,112848
175,0.004935,0.380795,112848
176,0.011743,0.753823,112848
177,0.017909,0.327068,112848
178,0.396107,0.483146,112848
179,0.904942,0.729393,112848
180,0.121574,0.430833,112848
181,0.326505,0.383574,112848
182,0.299437,0.419459,112848
183,0.304925,0.329640,112848
184,0.297974,0.328169,112848
185,0.104858,0.380952,112848
186,0.047104,0.395034,112848
187,0.008652,0.257246,112848
188,0.109802,0.556314,112848
189,0.120618,0.578558,112848
190,0.963194,0.780718,112848
191,0.579531,0.430556,112848
192,0.219675,0.248289,112848
193,0.013249,0.255039,112848
194,0.600016,0.619416,112848
195,0.363531,0.397600,112848
196,0.385237,0.434389,112848
197,0.004566,0.242604,112848
198,0.333749,0.346981,112848
199,0.015810,0.226923,112848
200,0.433440,0.232092,112848
201,0.583546,0.242843,112992
202,0.002747,0.760498,112992
203,0.100073,0.424324,112992
204,0.985149,0.714008,112992
205,0.093853,0.350637,112992
206,0.032465,0.253680,112992
207,0.229695,0.462127,112992
208,0.071524,0.750442,112992
209,0.036602,0.425861,112992
210,0.391340,0.438942,112992
211,0.935784,0.811499,112992
212,0.000404,0.249211,112992
213,0.015023,0.343923,112992
214,0.170185,0.300475,112992
215,0.002441,0.415854,112992
216,0.248999,0.345220,112992
217,0.434884,0.431994,112992
218,0.328632,0.428003,112992
219,0.572917,0.255556,112992
220,0.193566,0.274619,112992
221,0.983630,0.607914,112992
222,0.043959,0.317876,112992
223,0.284037,0.192205,112992
224,0.058707,0.509485,112992
225,0.447987,0.425414,112992
226,0.007406,0.341040,112992
227,0.234288,0.417732,112992
228,0.006152,0.253846,112992
229,0.006311,0.571031,112992
230,0.002518,0.266461,112992
231,0.106863,0.736700,112992
232,0.103035,0.699727,112992
233,0.028482,0.229942,112992
234,0.128392,0.414286,112992
235,0.012896,0.283877,112992
236,0.355888,0.393916,112992
237,0.833297,0.663941,112992
238,0.041390,0.325733,112992
239,0.243210,0.331014,112992
240,0.045646,0.399160,112992
241,0.004262,0.247779,112992
242,0.769904,0.703086,112992
243,0.587221,0.555398,112992
244,0.167266,0.551532,112992
245,0.765915,0.826484,112992
246,0.135130,0.504266,112992
247,0.425411,0.490785,112992
248,0.179603,0.465847,112992
249,0.705502,0.723323,112992
250,0.031311,0.281159,112992
251,0.728090,0.600515,112992
252,0.017981,0.319355,112992
253,0.043863,0.445614,112992
254,0.395414,0.562857,112992
255,0.036551,0.362424,112992
256,0.884756,0.575027,112992
257,0.322157,0.421893,112992
258,0.925073,0.573798,112992
259,0.107631,0.444241,112992
260,0.009842,0.414873,112992
261,0.003849,0.368365,112992
262,0.001721,0.459246,112992
263,0.001484,0.365434,112992
264,0.462120,0.507295,112992
265,0.172385,0.305252,112992
266,0.238532,0.335255,112992
267,0.481536,0.517738,112992
268,0.020892,0.361446,112992
269,0.003755,0.254887,112992
270,0.548858,0.685663,112992
271,0.008013,0.272358,112992
272,0.051925,0.265144,112992
273,0.523663,0.390639,112992
274,0.026911,0.427326,112992
275,0.970752,0.636719,112992
276,0.000282,0.244255,112992
277,0.136613,0.503268,112992
278,0.359114,0.365741,112992
279,0.211897,0.272997,112992
280,0.180177,0.573913,112992
281,0.218195,0.332000,112992
282,0.002028,0.411017,112992
283,0.367385,0.365401,112992
284,0.042278,0.480472,112992
285,0.354013,0.596282,112992
286,0.278608,0.371901,112992
287,0.418398,0.261675,112992
288,0.184361,0.400524,112992
289,0.155331,0.406452,112992
290,0.088719,0.265774,112992
291,0.598492,0.574409,112992
